claim_id,chapter,claim,claim_type,claim_grade,supporting_source_grades,scope,supporting_sources,source_file,source_locator,counterevidence,publication_wording,status,notes
C23,第4章,不同岗位名称可能围绕结构相似的验证、采用或组织转换问题工作,样本归纳,D,A,跨岗位任务比较,JD007;JD008;JD012;JD002;JD004;JD013;JD009;JD014,data/jd-open-coding-v0.1.md;report/six-dimension-framework-review-v0.2.md,相关JD;六维复核§6,解决相似问题不代表人才直接可互换；T-Domain和责任范围不同,当前样本支持：不同岗位名称可能围绕相似的验证、采用或组织转换问题工作,保留,H3a
C24,第4章,相同岗位名称在不同公司可能承担明显不同职责,样本归纳,NA,NA,缺少同名跨公司配对样本,NA,data/jd-sample-register-v0.1.csv,NA,当前样本没有足够同名跨公司JD配对,当前样本不足以判断同名岗位的跨公司职责差异，需要补充配对JD,待补证,H3b
C25,第5章,当前样本支持将Agent系统建设A-S与组织工作流设计A-W分开,样本归纳,D,A,17份A级JD,JD001;JD004;JD006;JD011;JD015;JD016,report/six-dimension-framework-review-v0.2.md,§2;§4.1,仅在17份样本中检验，未来岗位可能同时要求二者为核心,在当前样本中，建设Agent循环与控制平面和设计组织使用流程呈现不同岗位分布，支持保留A-S/A-W拆分,保留,框架检验
C26,第5章,当前样本支持将评测证据G-E与风险控制G-R分开,样本归纳,D,A,17份A级JD,JD001;JD009;JD012;JD014;JD015;JD016,report/six-dimension-framework-review-v0.2.md,§4.2,部分岗位同时承担两类责任，二者并非互斥,当前样本显示，评测体系与权限、审计及发布控制具有不同专业来源，支持拆分G-E/G-R,保留,框架检验
C27,第5章,人才迁移判断必须同时比较具体专业领域，而不能只比较抽象技术深度,方法建议,D,A,17份A级JD与T-Domain差异,JD001—JD017,report/six-dimension-framework-review-v0.2.md;methodology/talent-mapping-method-v0.1.md,六维复核§4.3;Mapping方法相关章节,尚未通过真实招聘迁移结果检验,相同的技术或方法深度不意味着人才可直接互换，Mapping还需比较具体专业领域和问题证据,保留,T-Domain原则
C28,第5章,当前样本中，跨边界转换更集中于产品、部署、采用、研究转化和组织岗位,样本归纳,D,A,17份A级JD,O=1与O=2岗位,report/six-dimension-framework-review-v0.2.md,§4.4,样本偏高级岗位；编码由同一研究过程完成,在当前定向样本中，跨边界转换更集中于边界岗位，核心平台岗位仍主要按专业技术能力筛选,保留,H4条件性支持
C29,第5章,研究提出六类岗位能力原型用于组织样本和生成Mapping假设,方法建议,D,A,17份A级JD,六类原型代表JD,report/six-dimension-framework-review-v0.2.md,§6;§7;§8,原型来自小型定向样本，尚未验证稳定性、穷尽性和跨行业适用性,本研究提出六类探索性岗位能力原型，用于组织样本和生成Mapping假设，不作为行业标准分类,需降级,强制使用探索性
C30,第5章,本研究覆盖的AI Coding岗位呈现多种不同能力组合，而非单一统一能力,样本归纳,D,A,17份A级JD,JD001—JD017,report/six-dimension-framework-review-v0.2.md,§2;§6;§9,仅覆盖部分AI Coding相关岗位，不能推广到所有AI人才市场,在本研究覆盖的AI Coding相关岗位中，不同岗位呈现明显不同的技术、评测、治理、采用和组织能力组合,需降级,不泛化全部AI人才
C31,第6章,人才Mapping可以从能力瓶颈分析开始，以补充只按岗位名称建立候选池的方法,方法建议,D,A;D,产品、瓶颈与JD研究,C08;C18;C23;C25—C30,methodology/talent-mapping-method-v0.1.md,§1—3,尚未通过真实招聘项目比较方法效果；传统岗位搜索仍有检索价值,本研究提出，人才Mapping可以从能力瓶颈分析开始，以补充仅按岗位名称建立候选池的传统方法,保留,本研究主要方法贡献
C32,第6章,岗位名称、专业、年限和公司背景可以用于检索与初筛，但不应单独构成能力充分证据,方法建议,D,A;D,JD与框架研究,C23;C27;C30,methodology/talent-mapping-method-v0.1.md,§2标签边界,部分职业存在学历、资质或法定年限要求,岗位名称、专业、年限和公司背景可以用于搜索与初筛，但最终判断仍需检查实际任务、责任、产物和结果,保留,删除绝对化只能
C33,第6章,人才来源可以按直接、相邻、高风险和未知进行分层,方法建议,D,A;D,六类探索性原型,C25—C30,methodology/talent-mapping-method-v0.1.md;data/talent-source-archetype-matrix-v0.1.csv,Mapping方法§3—4;K1—K6,分类边界仍需在实际项目中校准；未知不等于不符合,Mapping可按问题相似性、能力组合、专业领域、责任情境和证据质量对人才来源进行分层,保留,不生成统一总分
C34,第6章,核心能力判断通常应尽量获得具体行为、工作产物和结果证据,方法建议,D,D,CE0—CE4框架,CE0—CE4,methodology/talent-mapping-method-v0.1.md;templates/candidate-evidence-card-v0.1.md,Mapping方法证据层级,初级、保密或研究岗位可能缺少公开成果；结果形式因岗位而异,对核心能力的判断不宜只依赖职位标签，通常应尽量获得具体行为、工作产物和结果证据,保留,CE1+CE2+CE3为原则
C35,附录B,AI产品研究、公司研究、人才Mapping和内部工具可以被解释为一条组织能力情报闭环,研究推断,D,D,作者提供的目标岗位文本,目标岗位文本,report/ai-organizational-capability-intelligence-role-v0.1.md,§1—5,官方岗位链接未恢复；不能推断公司真实组织架构,作为方法应用案例，本研究将该岗位文本解释为从产品变化到组织和人才决策的证据转换闭环,保留至附录,非官方岗位定义
C36,附录A,校园重建工具案例显示Agent可能扩大资源有限个人可启动的软件项目边界,研究推断,E,E,个人一手案例,校园重建工具,report/full-report-draft-v0.1.md,§10.1,单一案例；具体项目数字未再次核实；不能证明普遍用户影响,个人案例显示，Agent可能使资源有限的个人进入过去较难启动的软件项目，但该机制仍需更广泛用户研究验证,保留至附录,H1有限支持
C37,附录A,Movie Night案例用于说明组织连接包含价值取舍、跨边界转换和结果闭环,研究推断,E,E,个人一手案例,Movie Night,report/full-report-draft-v0.1.md,§10.2,与AI Coding行业变化没有直接因果关系；活动数据未重新核实,该案例仅用于解释本研究对组织连接能力的定义，不作为行业岗位变化证据,保留至附录,机制说明
C38,第7章,在本研究观察的Coding Agent场景中，部分管理活动转向目标、边界、状态、异常和验证,研究推断,D,A;D,产品、瓶颈与JD任务群,C01;C08;C18—C20,report/product-capability-evolution-matrix-v0.1.md;report/capability-bottleneck-matrix-v0.1.md;data/jd-open-coding-v0.1.md,产品矩阵§5;瓶颈矩阵§13.3;JD开放编码§8,数字执行者管理不是正式职业类别；部分监督和验证也可能继续自动化,在本研究观察的Coding Agent场景中，Agent化没有消除管理责任，而是使部分管理活动转向目标定义、执行边界、状态观察、异常处理和结果验证,需降级,删除最终责任绝不能委托的经验性表述
C39,第1章/第7章,20份JD为定向探索样本，不能用于推断行业岗位比例、规模或增长率,方法建议,D,D,全部JD样本,JD001—JD020,methodology/research-design-v1.md;data/jd-sample-register-v0.1.csv;data/jd-open-coding-v0.1.md,研究设计样本章节;开放编码§1,定向样本可用于发现类型和反例，但不具统计代表性,本研究使用定向探索样本识别岗位任务和能力组合，不对行业岗位比例或需求规模作统计推断,保留,全文通用限制
C40,第1章,岗位样本由17份A级完整官方JD和3份B级有限材料构成，Qoder未进入精细编码,事实,D,A;B;D,20份JD与Qoder目录信号,JD001—JD020;Qoder目录,data/jd-open-coding-v0.1.md;data/jd-sample-register-v0.1.csv,开放编码§1,A/B是本研究证据分类，不是外部机构评级,本研究纳入17份完整官方JD和3份正文不完整但可确认的官方材料；Qoder仅保留岗位目录信号,保留,方法事实
C41,第7章,当前中国官方岗位样本明显不足,样本归纳,D,A;B;D,岗位地区与公司分布,Qoder目录;国际公司JD,data/jd-open-coding-v0.1.md;report/six-dimension-framework-review-v0.2.md;PROJECT_STATE.md,开放编码§9;六维复核§10,不能用国际样本直接代表中国市场，也不能用第三方转载补齐A级证据,现有完整岗位材料主要来自国际公司，中国官方岗位样本不足，限制了结论的地域适用范围,保留,公开版核心局限
C42,第7章,开放编码和第二遍编码主要由同一研究过程完成，尚未进行独立编码者一致性检验,事实,D,D,研究过程,开放编码;第二遍编码,report/six-dimension-framework-review-v0.2.md;PROJECT_STATE.md,六维复核§10,定义冻结和反例检查可以降低但不能消除主观判断,本研究尚未进行独立编码者一致性检验，岗位编码和能力原型仍可能受到研究者判断影响,保留,公开版核心局限
C43,第1章/第7章,公开JD反映岗位意图，但不等于真实组织结构、日常工作、录用结果或岗位影响,方法建议,D,A;D,公开JD材料性质,JD001—JD020,report/six-dimension-framework-review-v0.2.md;report/full-report-draft-v0.1.md,六维复核§10;研究局限,JD仍是可核验的组织信号，但不能替代员工访谈和组织数据,本研究将公开JD视为公司表达的人才和职责需求，不将其直接等同于真实组织结构或招聘结果,保留,JD使用原则
C44,附录B/第7章,目标岗位官方链接未恢复，当前文本不能作为A级当前招聘证据,事实,D,D,作者提供的目标岗位文本,目标岗位文本,report/ai-organizational-capability-intelligence-role-v0.1.md;data/target-role-capability-profile-v0.1.csv,证据边界,无法确认开放状态、地点、最终版本和组织关系,目标岗位文本仅用于方法应用；在恢复可核验官方页面前，不表述为当前官方招聘信息,保留,限制附录B结论
